file,word,ink,condition,pred_word,pred_ink,word_correct,ink_correct
black_as_black_bg-white,black,black,congruent,orange,green,0,0
blue_as_blue_bg-white,blue,blue,congruent,pink,yellow,0,0
brown_as_brown_bg-white,brown,brown,congruent,orange,green,0,0
gray_as_gray_bg-white,gray,gray,congruent,red,brown,0,0
green_as_green_bg-white,green,green,congruent,green,green,1,1
orange_as_orange_bg-white,orange,orange,congruent,orange,green,1,0
pink_as_pink_bg-white,pink,pink,congruent,pink,yellow,1,0
purple_as_purple_bg-white,purple,purple,congruent,pink,green,0,0
red_as_red_bg-white,red,red,congruent,pink,green,0,0
yellow_as_yellow_bg-white,yellow,yellow,congruent,yellow,yellow,1,1
black_as_blue_bg-beige_t06_s08_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t06_s08_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t06_s08_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t06_s10_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t06_s10_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t06_s10_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t06_s12_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t06_s12_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t06_s12_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t08_s08_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t08_s08_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t08_s08_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t08_s10_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t08_s10_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t08_s10_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t08_s12_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t08_s12_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t08_s12_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t10_s08_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t10_s08_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t10_s08_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t10_s10_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t10_s10_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t10_s10_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t10_s12_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t10_s12_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t10_s12_b12,black,blue,incongruent,pink,green,0,0
black_as_blue_bg-beige_t12_s08_b08,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t12_s08_b10,black,blue,incongruent,orange,green,0,0
black_as_blue_bg-beige_t12_s08_b12,black,blue,incongruent,pink,green,0,0
