image,word_text,font_color,predicted_color,contrast,condition,is_word_prediction,is_color_prediction
red_as_black_bg_high.png,red,black,red,high,incongruent,True,False
red_as_black_bg_low.png,red,black,black,low,incongruent,False,True
red_as_black_bg_medium.png,red,black,red,medium,incongruent,True,False
red_as_black_bg_same.png,red,black,black,same,incongruent,False,True
red_as_blue_bg_high.png,red,blue,red,high,incongruent,True,False
red_as_blue_bg_low.png,red,blue,red,low,incongruent,True,False
red_as_blue_bg_medium.png,red,blue,red,medium,incongruent,True,False
red_as_blue_bg_same.png,red,blue,blue,same,incongruent,False,True
red_as_brown_bg_high.png,red,brown,red,high,incongruent,True,False
red_as_brown_bg_low.png,red,brown,brown,low,incongruent,False,True
red_as_brown_bg_medium.png,red,brown,red,medium,incongruent,True,False
red_as_brown_bg_same.png,red,brown,brown,same,incongruent,False,True
red_as_gray_bg_high.png,red,gray,red,high,incongruent,True,False
red_as_gray_bg_low.png,red,gray,red,low,incongruent,True,False
red_as_gray_bg_medium.png,red,gray,red,medium,incongruent,True,False
red_as_gray_bg_same.png,red,gray,gray,same,incongruent,False,True
red_as_green_bg_high.png,red,green,red,high,incongruent,True,False
red_as_green_bg_low.png,red,green,green,low,incongruent,False,True
red_as_green_bg_medium.png,red,green,red,medium,incongruent,True,False
red_as_green_bg_same.png,red,green,green,same,incongruent,False,True
red_as_orange_bg_high.png,red,orange,red,high,incongruent,True,False
red_as_orange_bg_low.png,red,orange,red,low,incongruent,True,False
red_as_orange_bg_medium.png,red,orange,red,medium,incongruent,True,False
red_as_orange_bg_same.png,red,orange,orange,same,incongruent,False,True
red_as_pink_bg_high.png,red,pink,red,high,incongruent,True,False
red_as_pink_bg_low.png,red,pink,red,low,incongruent,True,False
red_as_pink_bg_medium.png,red,pink,red,medium,incongruent,True,False
red_as_pink_bg_same.png,red,pink,pink,same,incongruent,False,True
red_as_purple_bg_high.png,red,purple,purple,high,incongruent,False,True
red_as_purple_bg_low.png,red,purple,purple,low,incongruent,False,True
red_as_purple_bg_medium.png,red,purple,purple,medium,incongruent,False,True
red_as_purple_bg_same.png,red,purple,purple,same,incongruent,False,True
red_as_yellow_bg_high.png,red,yellow,red,high,incongruent,True,False
red_as_yellow_bg_low.png,red,yellow,red,low,incongruent,True,False
red_as_yellow_bg_medium.png,red,yellow,red,medium,incongruent,True,False
red_as_yellow_bg_same.png,red,yellow,yellow,same,incongruent,False,True
blue_as_black_bg_high.png,blue,black,blue,high,incongruent,True,False
blue_as_black_bg_low.png,blue,black,black,low,incongruent,False,True
blue_as_black_bg_medium.png,blue,black,blue,medium,incongruent,True,False
blue_as_black_bg_same.png,blue,black,black,same,incongruent,False,True
blue_as_brown_bg_high.png,blue,brown,blue,high,incongruent,True,False
blue_as_brown_bg_low.png,blue,brown,blue,low,incongruent,True,False
blue_as_brown_bg_medium.png,blue,brown,blue,medium,incongruent,True,False
blue_as_brown_bg_same.png,blue,brown,brown,same,incongruent,False,True
blue_as_gray_bg_high.png,blue,gray,blue,high,incongruent,True,False
blue_as_gray_bg_low.png,blue,gray,blue,low,incongruent,True,False
blue_as_gray_bg_medium.png,blue,gray,blue,medium,incongruent,True,False
blue_as_gray_bg_same.png,blue,gray,gray,same,incongruent,False,True
blue_as_green_bg_high.png,blue,green,blue,high,incongruent,True,False
blue_as_green_bg_low.png,blue,green,blue,low,incongruent,True,False
blue_as_green_bg_medium.png,blue,green,blue,medium,incongruent,True,False
blue_as_green_bg_same.png,blue,green,green,same,incongruent,False,True
blue_as_orange_bg_high.png,blue,orange,blue,high,incongruent,True,False
blue_as_orange_bg_low.png,blue,orange,blue,low,incongruent,True,False
blue_as_orange_bg_medium.png,blue,orange,blue,medium,incongruent,True,False
blue_as_orange_bg_same.png,blue,orange,orange,same,incongruent,False,True
blue_as_pink_bg_high.png,blue,pink,blue,high,incongruent,True,False
blue_as_pink_bg_low.png,blue,pink,blue,low,incongruent,True,False
blue_as_pink_bg_medium.png,blue,pink,blue,medium,incongruent,True,False
blue_as_pink_bg_same.png,blue,pink,pink,same,incongruent,False,True
blue_as_purple_bg_high.png,blue,purple,blue,high,incongruent,True,False
blue_as_purple_bg_low.png,blue,purple,blue,low,incongruent,True,False
blue_as_purple_bg_medium.png,blue,purple,blue,medium,incongruent,True,False
blue_as_purple_bg_same.png,blue,purple,purple,same,incongruent,False,True
blue_as_red_bg_high.png,blue,red,blue,high,incongruent,True,False
blue_as_red_bg_low.png,blue,red,blue,low,incongruent,True,False
blue_as_red_bg_medium.png,blue,red,blue,medium,incongruent,True,False
blue_as_red_bg_same.png,blue,red,red,same,incongruent,False,True
blue_as_yellow_bg_high.png,blue,yellow,blue,high,incongruent,True,False
blue_as_yellow_bg_low.png,blue,yellow,blue,low,incongruent,True,False
blue_as_yellow_bg_medium.png,blue,yellow,blue,medium,incongruent,True,False
blue_as_yellow_bg_same.png,blue,yellow,yellow,same,incongruent,False,True
green_as_black_bg_high.png,green,black,green,high,incongruent,True,False
green_as_black_bg_low.png,green,black,black,low,incongruent,False,True
green_as_black_bg_medium.png,green,black,green,medium,incongruent,True,False
green_as_black_bg_same.png,green,black,black,same,incongruent,False,True
green_as_blue_bg_high.png,green,blue,green,high,incongruent,True,False
green_as_blue_bg_low.png,green,blue,green,low,incongruent,True,False
green_as_blue_bg_medium.png,green,blue,green,medium,incongruent,True,False
green_as_blue_bg_same.png,green,blue,blue,same,incongruent,False,True
green_as_brown_bg_high.png,green,brown,green,high,incongruent,True,False
green_as_brown_bg_low.png,green,brown,brown,low,incongruent,False,True
